protein_id,molecular_weight,isoelectric_point,hydrophobicity,sequence_length,hydrophobic_aa_percent,charged_aa_percent,solubility,aa_A,aa_R,aa_N,aa_D,aa_C,aa_Q,aa_E,aa_G,aa_H,aa_I,aa_L,aa_K,aa_M,aa_F,aa_P,aa_S,aa_T,aa_W,aa_Y,aa_V
PROT_0342,44.13,9.1,-0.312,643,29.83,20.7,1,8.58,3.42,5.45,2.12,5.08,3.58,8.63,9.35,6.06,5.25,6.75,6.53,1.32,1.25,2.13,8.17,2.75,2.07,5.6,5.93
PROT_0343,97.72,6.65,1.856,333,24.03,24.84,0,2.96,6.05,2.18,4.51,8.39,6.26,8.36,2.02,2.5,5.89,3.03,5.92,6.02,6.56,5.36,6.03,4.95,2.19,7.42,3.4
PROT_0344,99.71,4.67,-0.604,665,26.59,18.99,1,3.03,5.11,6.32,4.11,3.5,1.59,8.11,7.06,2.05,7.22,3.06,1.66,8.66,2.65,8.44,7.1,1.86,5.07,7.84,5.56
PROT_0345,20.55,9.08,1.898,335,27.01,19.59,1,5.37,5.82,8.17,2.28,8.57,4.06,3.7,6.91,8.75,5.21,5.72,7.79,4.77,1.93,0.98,5.06,2.16,1.92,3.97,6.86
PROT_0346,32.34,4.4,0.974,647,35.25,19.39,0,5.13,5.83,2.1,7.83,6.49,4.37,2.76,3.84,7.51,7.08,6.6,2.97,6.91,7.55,3.69,3.02,1.44,1.36,6.0,7.53
PROT_0347,111.65,10.99,1.78,780,32.38,13.41,0,7.5,0.99,8.65,6.43,8.52,2.02,4.97,6.5,6.43,5.25,1.92,1.02,2.46,7.69,0.97,4.37,5.27,3.72,9.02,6.3
PROT_0348,65.73,5.85,-1.991,726,26.78,20.71,1,1.27,4.65,2.32,8.65,7.26,8.43,2.37,3.97,2.03,3.86,1.35,5.04,2.34,8.98,3.73,6.56,7.83,7.99,8.05,3.33
PROT_0349,70.56,10.29,-0.357,579,11.45,29.66,1,4.02,8.24,8.29,8.53,4.99,8.0,8.34,7.99,7.64,1.34,0.93,4.55,3.26,1.74,3.67,6.64,4.09,0.96,4.32,2.46
PROT_0350,93.11,10.31,-1.359,283,31.93,18.84,1,2.73,7.86,3.45,5.19,4.2,5.52,3.0,9.45,2.25,5.63,9.73,2.79,4.76,5.58,4.82,10.05,3.17,3.08,1.55,5.18
PROT_0351,20.46,9.81,-0.281,691,29.31,20.86,1,8.02,8.19,1.72,4.49,4.54,5.94,1.79,6.46,6.68,3.83,6.27,6.39,7.02,1.82,8.0,6.77,1.78,3.41,0.93,5.96
PROT_0352,104.76,8.4,-1.405,203,23.13,23.47,1,1.15,5.69,3.79,1.87,5.2,7.02,8.09,2.87,3.78,2.18,3.61,7.82,7.49,5.2,5.63,8.61,2.06,8.1,6.96,2.89
PROT_0353,40.93,10.27,-1.273,80,38.02,19.1,1,5.01,3.77,2.97,2.52,1.26,3.04,9.55,4.81,6.22,7.94,10.68,3.26,5.26,1.69,5.27,1.59,2.16,4.65,10.32,8.05
PROT_0354,43.97,8.09,-1.651,188,26.43,17.08,1,6.65,3.73,3.42,3.37,6.19,4.67,3.13,5.2,3.84,1.92,6.73,6.85,7.6,2.08,4.07,7.94,7.37,6.04,6.17,3.01
PROT_0355,94.73,9.92,0.241,435,38.38,19.54,0,5.77,5.55,1.19,8.41,7.75,7.23,2.37,4.34,1.63,8.2,5.69,3.21,4.56,6.79,5.02,2.06,1.86,4.12,6.41,7.81
PROT_0356,32.38,9.26,-0.463,479,32.69,13.25,1,4.17,6.17,7.61,1.33,3.95,7.76,4.58,0.99,5.29,6.01,1.79,1.17,5.04,6.74,5.99,6.34,3.79,5.92,7.31,8.06
PROT_0357,44.16,4.93,1.494,132,33.22,26.57,1,6.35,2.81,1.01,6.04,6.22,1.06,9.2,5.52,5.44,7.36,3.27,8.52,3.6,3.36,2.04,2.96,5.7,3.56,6.64,9.32
PROT_0358,41.88,4.11,0.629,677,27.59,19.66,0,8.08,8.15,2.38,1.68,5.63,5.51,8.02,3.23,7.83,7.37,2.78,1.81,7.47,3.01,8.12,5.46,0.9,3.46,6.23,2.89
PROT_0359,100.64,5.23,0.279,264,29.28,19.93,1,6.77,6.49,8.58,2.99,5.99,5.81,2.58,4.49,3.53,2.56,6.01,7.87,4.11,4.52,6.83,4.42,2.11,4.79,4.93,4.63
PROT_0360,113.14,4.93,1.08,354,35.02,23.18,0,3.73,4.0,9.47,8.82,7.59,2.84,2.42,5.11,5.38,7.18,4.88,7.94,2.36,8.18,1.17,2.0,4.7,2.1,1.18,8.95
PROT_0361,19.68,7.81,-1.59,505,24.48,21.82,1,8.29,5.61,7.13,0.95,7.13,5.16,7.34,7.61,1.55,1.98,6.88,7.92,7.32,3.3,4.66,2.8,5.17,2.99,5.17,1.04
PROT_0362,23.9,4.3,-1.396,518,30.76,20.14,1,0.92,2.74,2.76,4.05,3.79,3.25,8.43,6.49,6.51,6.74,8.27,4.92,9.0,2.74,8.71,3.21,1.53,3.63,3.85,8.46
PROT_0363,61.9,9.58,1.905,148,26.93,15.52,0,3.34,2.19,4.02,7.53,5.98,5.52,2.98,7.39,2.86,4.57,3.6,2.82,7.63,6.82,6.75,7.29,8.16,6.66,1.93,1.94
PROT_0364,101.25,6.69,0.324,511,33.86,21.64,0,5.58,8.67,3.15,1.63,8.95,2.37,4.02,3.48,4.33,6.51,4.25,7.32,3.6,7.39,6.19,2.89,4.29,4.92,5.22,5.21
PROT_0365,110.86,5.7,1.311,137,36.77,20.91,0,4.98,5.81,6.21,5.88,2.5,0.82,7.99,0.93,4.84,7.72,7.46,1.23,3.33,6.94,7.07,6.72,2.93,1.84,6.97,7.83
PROT_0366,93.07,9.24,0.794,386,27.53,27.07,1,2.23,9.6,7.29,4.37,1.23,9.63,4.32,7.27,6.92,1.65,8.49,8.78,1.26,4.26,1.7,1.68,6.09,8.27,2.33,2.63
PROT_0367,31.46,10.81,0.086,208,25.34,23.83,1,3.9,3.35,6.66,6.02,2.97,1.99,7.41,1.07,6.44,4.59,0.91,7.05,5.91,7.37,4.97,7.02,7.69,4.58,6.13,3.99
PROT_0368,17.95,5.98,0.166,146,29.4,24.07,1,2.67,6.03,2.72,2.43,7.07,5.53,7.86,7.66,4.78,3.5,6.22,7.75,2.28,7.55,6.25,2.52,1.81,1.56,5.9,7.9
PROT_0369,91.2,10.82,0.811,179,40.72,17.88,0,6.12,7.5,3.63,5.73,6.48,1.24,3.29,9.4,5.84,5.83,7.79,1.36,3.68,9.12,1.03,4.04,3.4,4.4,2.65,7.46
PROT_0370,116.19,7.61,0.915,747,19.08,22.33,0,4.08,6.71,1.67,7.22,2.06,5.49,3.88,5.49,7.57,3.16,2.07,4.52,7.84,1.61,6.52,7.83,7.22,6.02,6.92,2.14
PROT_0371,116.74,9.47,-1.651,176,23.61,16.85,1,8.1,3.52,6.97,3.5,3.67,7.52,4.22,7.79,6.89,3.88,2.49,5.61,1.45,2.05,5.75,4.73,7.12,1.97,7.64,5.12
PROT_0372,111.3,4.9,-0.533,719,32.97,25.09,1,3.93,9.66,2.52,3.62,4.39,1.85,2.68,8.16,3.41,5.4,3.39,9.13,7.04,2.33,2.17,6.28,1.39,8.97,4.73,8.95
PROT_0373,63.92,8.5,1.601,556,25.24,17.7,0,4.25,6.96,5.41,3.28,8.65,6.96,6.42,6.62,7.47,3.12,8.18,1.04,8.46,3.52,2.36,4.48,1.61,4.38,5.03,1.79
PROT_0374,54.93,10.56,-0.554,520,24.81,24.83,1,1.68,7.21,8.8,8.84,7.52,2.66,3.76,3.66,9.47,5.11,6.96,5.02,3.33,1.28,2.28,4.97,6.43,3.69,1.22,6.09
PROT_0375,46.18,5.39,1.768,573,38.49,20.12,0,3.2,3.18,1.32,8.57,5.26,3.58,2.83,2.49,3.79,1.9,9.7,5.54,5.23,3.2,9.89,2.91,1.62,9.91,5.31,10.58
PROT_0376,113.05,7.5,-0.734,770,29.36,20.39,0,4.3,5.95,7.16,3.64,6.81,4.53,6.21,4.47,6.68,2.06,5.54,4.59,1.7,5.15,6.21,5.62,6.23,5.61,0.83,6.7
PROT_0377,53.2,6.11,-0.772,207,26.0,25.5,1,2.77,6.17,8.14,7.8,7.17,5.52,5.55,5.1,1.09,6.34,2.21,5.98,6.55,5.27,2.42,2.37,2.24,5.85,7.89,3.56
PROT_0378,110.12,4.69,-1.65,186,28.9,23.97,1,4.4,8.01,3.79,3.34,6.78,3.87,7.83,3.22,7.49,4.11,3.49,4.79,1.98,3.95,2.86,5.56,5.71,5.38,5.87,7.57
PROT_0379,58.36,9.74,0.815,485,26.84,17.8,0,6.52,6.23,4.48,5.2,7.39,8.9,1.81,4.76,5.93,1.23,3.44,4.56,2.86,4.85,4.22,2.63,4.97,2.02,9.24,8.78
PROT_0380,60.15,7.89,-0.435,711,32.07,18.55,1,8.02,6.82,4.72,2.89,5.88,3.2,7.74,7.79,5.99,0.88,7.79,1.1,1.05,6.89,7.27,4.81,6.51,3.27,2.15,5.22
PROT_0381,48.85,4.65,-1.897,91,22.42,20.03,1,4.28,1.38,8.84,4.58,8.91,4.25,7.11,4.36,3.64,2.29,2.9,6.96,2.01,1.95,5.83,4.27,7.4,8.71,8.04,2.29
PROT_0382,20.43,4.58,-1.425,103,31.19,10.19,1,6.64,1.99,5.49,4.93,8.16,5.14,1.03,6.37,8.25,5.62,6.7,2.24,5.75,2.51,2.3,7.17,6.31,6.92,3.69,2.8
PROT_0383,81.52,7.16,-1.356,385,44.93,22.95,1,9.28,8.29,1.88,8.8,1.98,2.14,3.16,2.47,1.6,8.1,8.67,2.7,1.79,7.68,4.45,5.06,6.24,2.72,4.5,8.48
PROT_0384,18.1,4.97,-1.666,788,30.59,20.52,1,8.13,6.18,5.95,7.74,1.83,3.64,3.67,8.86,5.7,0.93,5.07,2.93,1.87,5.75,5.19,5.04,6.99,2.62,3.82,8.09
PROT_0385,115.15,7.41,1.531,513,32.2,17.76,0,3.07,4.8,8.62,3.72,5.37,3.28,6.94,4.92,5.05,4.14,2.46,2.3,6.47,8.09,3.18,4.08,5.63,7.11,3.42,7.33
PROT_0386,48.88,9.54,-0.569,154,20.9,23.57,1,7.35,7.94,6.29,6.15,4.63,5.81,4.15,6.37,1.5,2.38,1.24,5.33,5.98,3.47,8.03,6.48,9.22,3.97,1.21,2.49
PROT_0387,108.73,6.95,1.025,405,36.03,13.95,0,6.48,4.08,7.51,1.97,3.62,1.03,3.71,4.86,7.65,8.52,5.68,4.19,6.01,5.39,1.81,3.28,6.07,8.39,8.19,1.57
PROT_0388,70.39,6.36,-1.935,561,36.27,11.46,0,3.51,1.82,6.86,1.79,4.37,2.61,6.39,8.08,7.96,3.94,1.5,1.46,10.14,7.79,1.31,6.5,2.75,12.22,1.68,7.31
PROT_0389,119.32,10.03,0.897,311,33.15,19.98,0,7.7,4.3,3.37,3.5,3.74,1.56,7.24,4.95,1.29,3.35,8.96,4.94,6.15,8.36,7.8,8.58,1.75,2.74,7.66,2.04
PROT_0390,48.53,5.04,0.337,503,22.08,25.5,1,1.71,7.15,7.91,7.94,5.56,0.99,6.85,1.4,8.52,1.32,1.36,3.56,3.21,6.84,7.73,4.2,6.94,8.87,5.95,1.98
PROT_0391,16.38,5.51,1.274,272,23.14,13.35,0,4.81,2.01,5.51,5.94,6.66,9.38,3.73,7.26,2.91,3.23,3.51,1.67,5.77,8.48,6.64,7.3,2.73,1.63,9.34,1.48
PROT_0392,47.25,10.09,0.594,230,29.4,14.31,1,1.8,2.67,5.87,5.34,8.11,7.29,3.54,4.73,2.22,5.15,8.57,2.76,3.97,9.08,8.19,5.22,7.45,2.5,3.25,2.3
PROT_0393,59.37,6.06,-0.389,688,35.39,28.93,1,8.99,7.8,3.2,9.15,2.72,1.27,7.04,5.13,3.43,9.45,1.78,4.94,2.38,5.59,5.64,1.5,3.49,1.9,6.92,7.68
PROT_0394,36.6,9.5,-0.609,374,29.59,18.22,1,6.02,5.68,5.12,7.44,7.12,10.05,3.11,1.54,1.38,3.54,1.66,1.99,3.17,6.87,7.77,4.73,2.0,7.94,9.31,3.56
PROT_0395,86.32,9.97,0.376,565,21.01,22.34,1,7.27,8.68,2.11,6.31,8.34,6.04,4.28,10.46,3.59,4.38,1.86,3.07,10.39,2.6,1.27,6.02,4.57,2.97,3.85,1.93
PROT_0396,101.91,6.11,-0.665,610,33.64,16.14,1,1.03,9.06,5.37,1.44,1.18,7.28,3.7,3.12,5.65,7.97,8.16,1.94,8.42,4.11,5.54,4.25,6.04,7.13,3.36,5.24
PROT_0397,116.37,10.14,0.715,540,27.62,14.02,0,6.86,7.18,5.01,1.59,5.65,5.95,0.93,7.72,6.86,5.46,1.79,4.32,2.52,6.04,7.69,3.34,6.06,2.16,7.56,5.31
PROT_0398,86.5,7.66,-0.841,651,26.01,17.49,1,2.4,8.57,3.86,3.71,5.87,8.86,3.25,2.53,5.79,6.82,7.93,1.96,7.6,5.69,7.58,3.84,1.86,1.0,8.71,2.17
PROT_0399,89.89,5.0,0.932,522,28.5,25.4,1,2.41,5.26,1.55,3.57,4.97,2.89,8.25,2.07,5.28,1.02,4.08,8.32,1.42,2.19,8.72,7.89,5.4,9.42,5.92,9.38
PROT_0400,35.95,6.13,-0.811,723,37.77,19.96,1,7.75,3.03,1.08,7.86,2.71,5.94,3.74,3.84,7.64,7.56,7.76,5.33,2.14,4.12,7.43,6.89,1.88,6.61,2.72,3.97
PROT_0401,40.48,7.59,-1.491,636,25.83,16.1,1,5.31,3.94,7.98,4.43,2.02,4.47,3.43,8.46,6.66,4.69,4.36,4.3,4.22,1.12,5.42,8.64,4.3,7.01,5.87,3.34
PROT_0402,68.64,9.02,0.806,608,30.17,18.16,0,7.57,1.26,7.32,1.81,5.98,4.39,6.69,4.81,7.27,1.5,2.92,8.4,1.67,5.4,7.14,5.18,6.13,7.46,1.78,5.32
PROT_0403,56.02,10.48,-0.8,575,28.51,26.15,1,5.61,8.99,2.06,8.39,6.26,2.22,6.17,6.92,8.74,7.64,6.13,2.6,1.49,2.2,8.26,5.26,2.99,1.79,1.13,5.14
PROT_0404,85.11,6.74,0.791,189,30.33,23.36,1,6.43,6.58,4.54,6.44,5.47,6.7,5.03,3.75,5.16,2.04,6.42,5.31,1.95,5.89,4.54,4.05,2.77,5.38,7.39,4.17
PROT_0405,51.63,8.94,-0.438,144,24.27,20.03,1,4.17,4.23,1.1,4.49,5.33,0.96,3.27,5.97,7.93,5.77,1.21,8.04,8.48,4.57,6.59,3.06,8.63,3.7,7.64,4.85
PROT_0406,49.03,10.69,-0.608,712,29.63,15.22,1,5.67,3.42,6.14,3.33,6.11,6.64,2.88,6.46,3.06,3.73,7.59,5.59,3.6,4.31,5.69,5.08,7.68,6.55,4.7,1.78
PROT_0407,18.93,9.25,-0.234,463,35.88,17.49,1,1.43,1.13,6.77,2.75,6.22,4.89,6.34,3.49,2.75,7.08,8.24,7.27,1.74,7.95,6.73,3.97,8.69,8.28,1.39,2.9
PROT_0408,18.49,4.98,-1.979,497,29.65,14.17,1,7.28,1.38,2.8,2.15,5.5,2.4,7.34,6.55,3.01,5.91,7.75,3.3,8.37,5.35,6.27,8.84,1.93,1.33,10.51,2.03
PROT_0409,46.31,4.83,-1.078,695,27.16,21.17,1,5.9,1.64,2.66,7.54,9.17,6.76,5.45,8.46,6.11,5.24,4.15,6.54,6.01,2.23,1.6,4.83,4.37,1.63,1.7,8.01
PROT_0410,42.62,4.21,-0.648,347,24.27,19.19,1,3.38,2.56,8.03,7.89,2.77,6.22,1.37,7.51,8.24,1.42,5.24,7.37,7.97,4.67,3.9,1.28,6.18,1.7,4.45,7.86
PROT_0411,72.9,10.63,-0.918,122,24.59,23.57,1,3.16,6.21,1.78,4.67,6.0,7.35,5.49,7.02,2.46,1.31,7.51,7.2,5.78,6.22,1.04,7.75,7.53,5.03,5.13,1.36
PROT_0412,59.82,4.96,-0.248,710,32.18,22.32,1,1.13,4.78,5.88,4.19,3.2,7.42,8.36,1.02,1.29,6.84,7.13,4.99,7.5,6.13,6.56,5.13,1.26,6.77,6.23,4.18
PROT_0413,108.49,10.99,-1.481,487,26.29,21.53,1,4.45,4.36,9.89,3.36,1.95,1.16,5.04,8.3,8.83,6.22,1.51,8.77,9.46,3.47,1.61,1.61,5.28,3.78,4.09,6.86
PROT_0414,58.14,10.65,-0.055,160,29.41,24.73,1,5.91,5.9,1.44,8.06,2.44,6.27,7.1,7.75,7.45,4.26,3.18,3.67,5.09,7.53,2.73,7.72,3.3,5.01,1.66,3.52
PROT_0415,104.73,6.69,-1.925,471,21.15,24.71,1,8.21,7.64,5.07,3.34,5.33,1.88,6.71,7.22,1.18,2.78,4.43,7.02,8.54,1.06,7.6,3.06,5.61,3.3,8.64,1.37
PROT_0416,97.17,10.5,1.01,191,35.19,12.89,0,4.22,2.55,3.73,5.86,4.89,5.86,1.08,6.64,7.97,7.76,6.58,3.4,7.14,2.84,6.57,2.49,1.05,6.36,5.57,7.43
PROT_0417,50.44,6.76,0.462,450,18.25,25.87,1,3.86,6.44,6.11,7.51,8.12,4.45,5.29,5.26,4.88,2.12,3.81,6.63,8.02,1.88,0.98,7.05,8.22,1.52,2.79,5.06
PROT_0418,47.97,4.45,-1.281,362,34.63,21.32,1,6.26,7.26,7.49,5.85,1.91,5.52,3.51,3.05,2.36,4.67,4.48,4.7,8.76,4.81,7.77,2.67,1.38,8.54,3.15,5.87
PROT_0419,90.42,8.2,-0.601,159,37.4,8.04,1,9.01,2.19,6.81,2.37,6.7,1.48,2.07,1.37,7.31,8.93,6.35,1.41,7.61,1.58,7.59,3.4,3.39,7.26,8.9,4.27
PROT_0420,112.68,10.38,-1.898,703,22.52,21.09,0,4.71,5.28,2.95,3.71,4.09,7.92,4.47,6.39,8.37,2.16,3.71,7.63,3.78,4.4,6.47,4.93,9.2,6.22,2.3,1.32
PROT_0421,91.97,9.93,0.111,132,29.68,21.77,1,7.47,5.06,7.25,5.04,5.63,3.7,2.65,7.66,1.17,6.81,4.0,9.02,1.54,1.53,8.51,2.73,5.0,5.57,5.36,4.3
PROT_0422,83.6,8.24,-0.204,508,28.91,18.6,0,4.87,5.3,4.61,3.17,7.9,3.37,2.96,2.96,7.33,3.95,4.73,7.17,1.89,2.94,7.04,8.27,3.95,3.86,5.15,8.56
PROT_0423,27.68,5.84,0.218,561,30.34,20.1,1,5.53,7.62,1.92,5.27,7.21,4.21,5.65,2.03,3.02,3.23,3.45,1.56,4.32,8.89,5.58,6.04,7.18,8.21,8.02,1.03
PROT_0424,22.74,10.45,1.8,498,28.16,24.42,0,2.03,9.39,9.05,1.29,2.66,1.76,6.0,6.13,4.78,5.11,2.28,7.74,3.38,3.87,4.29,8.96,4.29,6.89,2.1,7.98
PROT_0425,46.22,6.39,0.257,617,26.89,24.41,1,4.4,7.41,3.14,4.61,1.93,2.31,6.87,8.05,8.21,1.53,7.89,5.52,3.77,5.96,3.84,4.31,4.86,5.48,8.28,1.63
PROT_0426,113.62,5.82,0.425,188,27.05,16.99,0,5.07,8.5,3.24,4.05,7.11,8.71,1.25,8.64,8.13,6.89,4.43,3.19,8.11,3.48,3.75,2.26,3.26,4.89,2.74,2.29
PROT_0427,26.51,8.94,1.379,535,24.24,24.28,0,5.97,1.94,2.44,7.3,6.65,1.06,7.79,8.23,5.0,6.99,0.9,7.25,1.05,2.41,8.09,5.24,6.48,4.85,7.24,3.12
PROT_0428,89.04,7.65,-1.238,651,28.76,17.97,1,5.57,1.83,2.29,3.59,7.19,9.95,8.43,7.89,3.08,1.71,2.47,4.12,5.21,7.81,7.22,1.71,7.37,9.25,1.38,1.95
PROT_0429,66.52,8.28,0.84,119,31.85,23.44,1,8.06,6.27,9.01,6.28,3.03,5.93,8.36,2.82,2.61,4.94,5.06,2.53,5.17,2.06,6.34,1.7,5.33,7.09,2.77,4.64
PROT_0430,59.06,7.13,-1.01,515,35.09,18.39,1,5.37,4.87,4.99,2.32,3.09,4.31,7.16,6.64,6.39,6.63,5.23,4.04,4.98,4.76,4.4,2.73,2.22,7.22,6.77,5.88
PROT_0431,99.95,6.98,-0.957,135,24.63,21.26,1,2.3,8.53,6.17,3.67,4.07,1.91,7.94,7.61,7.8,5.69,6.38,1.12,3.03,2.61,7.69,4.16,5.38,3.47,6.29,4.18
PROT_0432,95.43,4.44,-1.803,295,33.52,18.85,1,5.12,2.83,6.42,1.35,4.8,2.85,8.47,5.56,7.65,1.9,9.27,6.2,2.06,5.59,9.12,1.14,4.21,7.66,3.82,3.98
PROT_0433,81.31,8.82,-1.865,206,24.53,17.37,1,5.61,9.52,8.24,4.4,7.2,3.48,2.37,4.21,4.55,5.77,3.12,1.08,8.31,7.52,5.54,5.32,7.84,1.33,3.42,1.18
PROT_0434,17.46,5.92,-1.189,350,33.41,19.48,1,6.87,2.17,7.63,3.42,1.76,1.66,7.47,7.83,4.72,1.13,8.44,6.42,2.36,7.59,8.1,2.74,6.43,3.79,3.9,5.59
PROT_0435,65.06,4.76,-0.758,227,30.08,16.05,1,5.37,3.81,4.22,2.6,4.04,3.04,3.09,6.35,4.82,3.85,8.62,6.55,8.29,6.82,6.45,4.4,5.38,1.06,6.89,4.36
PROT_0436,15.59,8.83,1.02,580,35.78,16.27,0,9.94,1.89,2.56,8.93,5.5,3.3,2.31,6.65,5.35,7.63,6.2,3.14,8.04,3.32,3.86,4.11,2.39,3.96,6.19,4.73
PROT_0437,80.75,7.67,-1.441,640,24.0,23.43,1,5.24,9.18,2.98,4.91,5.1,5.71,7.3,7.24,8.86,4.6,1.62,2.04,1.07,5.41,2.0,2.65,8.41,1.93,8.55,5.2
PROT_0438,90.61,9.97,-1.459,616,30.4,16.38,1,4.02,3.21,4.3,3.19,8.13,6.2,4.99,5.72,3.8,5.99,1.99,4.99,2.48,5.71,6.5,4.96,2.85,4.52,8.25,8.17
PROT_0439,101.18,10.08,0.338,393,32.97,9.41,0,9.05,1.16,5.08,2.52,1.72,10.47,4.07,2.88,7.75,6.25,4.26,1.66,5.58,2.58,4.44,6.45,3.25,7.12,10.0,3.71
PROT_0440,85.19,7.31,-1.328,317,29.48,19.31,1,6.07,4.25,3.02,5.38,6.36,1.56,2.18,6.95,3.23,3.09,1.76,7.5,5.77,7.24,3.64,7.29,5.81,3.21,7.58,8.11
PROT_0441,70.72,10.18,1.369,250,27.65,24.47,0,1.88,8.49,2.39,2.56,9.16,4.04,9.35,1.52,5.78,5.12,7.21,4.07,5.68,2.12,6.23,4.54,4.61,5.44,3.93,5.88
PROT_0442,33.8,9.23,-1.957,532,28.38,20.02,1,6.83,5.95,6.88,4.86,4.35,6.51,5.76,4.84,3.95,3.32,0.99,3.45,4.18,5.65,6.07,2.35,4.85,8.02,7.6,3.57
PROT_0443,81.39,7.43,-0.106,743,33.01,12.28,1,5.18,0.95,3.43,1.67,3.9,2.97,8.4,5.84,1.18,3.14,4.8,1.26,6.56,2.96,5.99,8.8,7.6,7.92,8.45,9.01
PROT_0444,104.06,6.22,0.837,680,35.06,25.77,0,8.21,1.33,1.25,8.98,2.36,7.57,8.77,2.17,4.74,8.55,1.49,6.69,1.55,1.86,5.85,9.78,2.73,6.48,1.14,8.47
PROT_0445,51.82,6.39,0.273,793,30.62,15.35,0,8.65,5.14,8.62,4.22,7.78,6.4,1.44,7.68,5.02,6.89,1.6,4.55,3.17,2.54,5.06,2.33,7.03,7.78,0.94,3.16
PROT_0446,28.94,4.37,0.824,262,37.1,15.77,1,5.44,4.61,1.83,1.62,6.75,2.38,5.64,8.64,7.05,7.22,2.64,3.9,1.54,6.71,2.87,7.61,6.05,8.13,2.43,6.96
PROT_0447,37.12,8.92,-0.612,778,33.09,14.25,1,2.25,3.82,3.02,2.68,8.9,2.58,3.63,7.24,3.36,5.38,6.17,4.12,6.74,5.02,6.64,8.44,1.32,8.46,4.44,5.81
PROT_0448,81.09,10.09,-1.968,511,23.03,32.0,1,2.99,7.62,5.78,8.84,8.51,1.9,8.31,3.47,5.44,1.34,2.13,7.23,2.8,2.36,6.56,4.54,4.6,6.57,1.36,7.64
PROT_0449,107.13,9.34,1.603,599,38.86,22.6,0,3.84,6.53,1.82,8.81,3.59,4.97,2.56,1.14,7.92,4.88,5.91,4.7,4.39,8.13,3.13,4.17,3.86,6.79,3.54,9.31
PROT_0450,63.16,5.16,-1.997,231,22.79,23.09,1,3.5,5.82,7.0,3.36,0.92,4.09,6.79,6.55,7.07,6.92,2.03,7.12,5.67,1.58,2.92,7.04,7.1,2.76,5.76,6.0
PROT_0451,25.06,4.9,1.052,216,36.79,12.35,0,7.81,3.24,1.5,2.73,2.47,1.58,2.8,6.25,7.52,3.81,4.62,3.58,4.57,6.27,6.36,8.05,6.13,7.41,6.42,6.87
PROT_0452,29.5,5.32,-1.155,525,28.27,19.4,1,6.23,7.11,6.55,5.93,3.77,3.56,1.29,4.22,6.0,4.91,2.34,5.07,6.19,3.38,3.18,6.58,5.08,6.08,7.22,5.33
PROT_0453,75.34,6.69,-0.181,577,26.45,19.49,1,3.9,6.62,4.64,3.43,4.31,8.06,1.26,9.25,4.61,2.38,6.86,8.18,4.98,1.68,6.89,1.84,8.42,7.91,1.07,3.72
PROT_0454,50.4,10.54,0.361,282,25.94,16.07,1,8.24,3.95,6.79,3.19,2.85,5.73,5.5,7.03,4.32,3.72,4.5,3.43,4.97,3.66,6.9,8.4,4.95,3.81,6.05,2.01
PROT_0455,77.56,6.5,-1.854,485,35.82,18.85,0,8.51,7.72,5.21,1.47,3.62,2.14,5.53,4.4,9.21,7.34,3.35,4.13,3.75,8.56,6.02,2.67,4.31,1.18,4.01,6.88
PROT_0456,25.62,7.59,0.902,425,36.64,18.9,1,2.25,5.09,1.87,2.01,4.76,7.9,3.59,4.48,5.73,8.11,7.99,8.21,7.33,5.35,1.19,3.45,1.18,5.67,6.57,7.27
PROT_0457,60.88,9.23,1.113,363,27.38,24.04,0,6.98,4.33,1.08,8.62,2.99,6.2,8.07,7.69,4.42,1.85,2.46,3.02,3.36,5.07,7.84,2.88,7.39,3.94,4.74,7.08
PROT_0458,76.73,8.44,-0.685,478,32.36,24.87,1,7.15,6.54,9.33,7.21,3.51,4.74,1.19,4.8,2.2,3.46,6.49,9.93,3.92,3.04,1.18,3.98,1.6,3.65,7.52,8.57
PROT_0459,45.64,6.21,0.698,110,33.11,12.85,1,8.47,1.01,3.68,3.72,4.52,4.66,6.95,2.62,6.58,6.38,2.98,1.17,7.84,8.78,6.04,5.47,3.71,2.59,8.92,3.91
PROT_0460,96.64,9.14,-0.396,498,34.13,18.21,1,6.24,2.36,3.92,4.6,9.38,1.14,9.19,5.66,5.1,2.93,8.75,2.06,6.09,8.14,1.76,2.79,9.35,5.78,2.46,2.29
PROT_0461,70.93,6.34,-0.144,256,30.34,18.75,1,6.58,4.04,5.42,3.28,3.62,1.65,7.59,8.17,6.66,3.27,4.93,3.84,7.4,4.62,4.38,7.15,4.27,7.89,2.2,3.05
PROT_0462,107.77,8.58,0.208,277,31.7,23.08,0,7.45,3.62,5.59,7.95,3.82,5.47,5.34,1.83,5.35,8.13,5.2,6.17,7.73,3.19,2.64,4.98,4.27,1.48,3.52,6.25
PROT_0463,110.43,5.71,0.888,151,35.61,21.44,0,4.97,7.28,3.06,5.09,7.19,2.71,2.13,1.54,1.24,6.01,4.98,6.94,4.84,3.08,2.51,5.0,6.57,7.99,8.28,8.58
PROT_0464,19.19,6.8,1.71,724,32.12,19.83,0,5.61,5.18,3.38,4.12,3.8,3.24,5.84,6.98,6.49,4.23,5.4,4.69,7.19,5.39,3.59,6.13,1.12,6.03,6.13,5.46
PROT_0465,50.96,8.82,-0.677,541,27.74,23.76,1,4.2,6.86,1.64,7.31,6.63,5.27,6.89,6.36,3.64,5.86,1.93,2.7,4.53,2.87,3.37,6.14,4.34,6.26,6.59,6.62
